Time (s),Altitude,Controller Output,Ascent Rate (m/s),Filtered Ascent Rate (m/s)
847,5290964,0,6520,6749
848,5300890,0,9926,6812
849,5310913,0,10023,6875
850,5319906,0,8993,6916
851,5327891,0,7985,6936
852,5334380,0,6489,6926
853,5340261,0,5881,6904
854,5350255,0,9994,6964
855,5358598,0,8343,6990
856,5363857,0,5259,6955
857,5372044,0,8187,6978
858,5381946,0,9902,7036
859,5389095,0,7149,7037
860,5397043,0,7948,7054
861,5404101,0,7058,7053
862,5411413,0,7312,7057
863,5415970,0,4557,7006
864,5422771,0,6801,7001
865,5426636,0,3865,6937
866,5430879,0,4243,6882
867,5436759,0,5880,6861
868,5445540,0,8781,6898
869,5451780,0,6240,6884
870,5459073,0,7293,6891
871,5464155,0,5082,6854
872,5471037,0,6882,6853
873,5479249,0,8212,6879
874,5484940,0,5691,6854
875,5490577,0,5637,6828
876,5497706,0,7129,6833
877,5507066,0,9360,6883
878,5513047,0,5981,6864
879,5519956,0,6909,6864
880,5524698,0,4742,6820
881,5530326,0,5628,6795
882,5538081,0,7755,6814
883,5546150,0,8069,6838
884,5555064,0,8914,6879
885,5562198,0,7134,6883
886,5571526,0,9328,6931
887,5577035,0,5509,6902
888,5581844,0,4809,6859
889,5587488,0,5644,6833
890,5595065,0,7577,6847
891,5604499,0,9434,6898
892,5612422,0,7923,6918
893,5620426,0,8004,6939
894,5626171,0,5745,6914
895,5632866,0,6695,6908
896,5639778,0,6912,6907
897,5647319,0,7541,6918
898,5656610,0,9291,6964
899,5664283,0,7673,6977
900,5671183,0,6900,6975
901,5678331,0,7148,6977
902,5687401,0,9070,7018
903,5692640,0,5239,6981
904,5698615,0,5975,6960
905,5705344,0,6729,6954
906,5712083,0,6739,6948
907,5719179,0,7096,6950
908,5725783,0,6604,6943
909,5733291,0,7508,6954
910,5739546,0,6255,6939
911,5745361,0,5815,6916
912,5753923,0,8562,6948
913,5760307,0,6384,6936
914,5766266,0,5959,6916
915,5775787,0,9521,6967
916,5785556,0,9769,7022
917,5791758,0,6202,7005
918,5797863,0,6105,6986
919,5802868,0,5005,6946
920,5807551,0,4683,6900
921,5816006,0,8455,6931
922,5824826,0,8820,6968
923,5830042,0,5216,6932
924,5836396,0,6354,6920
925,5839847,0,3451,6850
926,5847063,0,7216,6857
927,5852925,0,5862,6836
928,5861762,0,8837,6875
929,5866195,0,4433,6825
930,5871870,0,5675,6801
931,5879729,0,7859,6821
932,5886811,0,7082,6825
933,5894898,0,8087,6849
934,5901223,0,6325,6838
935,5907008,0,5785,6816
936,5915177,0,8169,6842
937,5923858,0,8681,6878
938,5927804,0,3946,6818
939,5935579,0,7775,6836
940,5942104,0,6525,6829
941,5946944,0,4840,6788
942,5954774,0,7830,6808
943,5961408,0,6634,6803
944,5969150,0,7742,6820
945,5976016,0,6866,6820
946,5981369,0,5353,6790
947,5988740,0,7371,6801
948,5996153,0,7413,6812
949,6005058,0,8905,6853
950,6010637,0,5579,6826
951,6015579,0,4942,6787
952,6022939,0,7360,6798
953,6030501,0,7562,6813
954,6037894,0,7393,6823
955,6044733,0,6839,6822
956,6052452,0,7719,6839
957,6055987,0,3535,6772
958,6062964,0,6977,6775
959,6068878,0,5914,6757
960,6075550,0,6672,6754
961,6082225,0,6675,6751
962,6089260,0,7035,6755
963,6096339,0,7079,6760
964,6102137,0,5798,6739
965,6109812,0,7675,6757
966,6115989,0,6177,6744
967,6123824,0,7835,6765
968,6129429,0,5605,6741
969,6136529,0,7100,6748
970,6144516,0,7987,6772
971,6153640,0,9124,6818
972,6161060,0,7420,6829
973,6164251,0,3191,6755
974,6172056,0,7805,6775
975,6178616,0,6560,6770
976,6185362,0,6746,6768
977,6194640,0,9278,6817
978,6199479,0,4839,6776
979,6208578,0,9099,6821
980,6214633,0,6055,6805
981,6224652,0,10019,6868
982,6231687,0,7035,6870
983,6239345,0,7658,6885
984,6246676,0,7331,6893
985,6252976,0,6300,6881
986,6258737,0,5761,6858
987,6265363,0,6626,6852
988,6270067,0,4704,6808
989,6279372,0,9305,6857
990,6289793,0,10421,6927
991,6297302,0,7509,6938
992,6304813,0,7511,6949
993,6311547,0,6734,6944
994,6318923,0,7376,6952
995,6323352,0,4429,6900
