Time (s),Alt (m),aRate (m/s)
5341,3597.84,6.11
5342,3603.43,4.99
5343,3608.19,4.79
5344,3613.00,4.86
5345,3617.82,5.07
5346,3623.25,5.40
5347,3629.07,5.59
5348,3635.14,5.91
5349,3641.12,6.00
5350,3647.37,6.32
5351,3653.81,6.57
5352,3660.26,6.38
5353,3666.51,6.11
5354,3672.36,5.84
5355,3678.25,5.92
5356,3684.17,6.01
5357,3690.34,6.31
5358,3696.76,6.60
5359,3703.52,6.82
5360,3710.27,6.80
5361,3716.80,6.55
5362,3723.01,6.07
5363,3728.97,6.03
5364,3735.15,6.30
5365,3741.44,6.47
5366,3748.03,6.64
5367,3754.31,6.08
5368,3759.87,5.51
5369,3765.35,5.62
5370,3771.18,5.92
5371,3777.50,6.26
5372,3784.03,6.51
5373,3790.71,6.46
5374,3797.22,6.55
5375,3803.69,6.70
5376,3810.00,6.60
5377,3817.05,6.78
5378,3824.03,6.84
5379,3830.61,6.55
5380,3837.26,6.45
5381,3843.89,6.66
5382,3850.44,6.57
5383,3857.03,6.44
5384,3863.20,6.14
5385,3869.38,6.34
5386,3876.03,6.49
5387,3882.76,6.76
5388,3889.45,6.60
5389,3896.18,6.73
5390,3902.99,6.84
5391,3909.73,6.55
5392,3916.25,6.48
5393,3922.98,6.43
5394,3929.19,6.03
5395,3935.15,6.11
5396,3941.20,6.35
5397,3947.59,6.58
5398,3954.15,6.52
5399,3960.88,6.61
5400,3967.57,6.65
5401,3974.13,6.47
5402,3980.57,6.55
5403,3987.05,6.53
5404,3993.77,6.73
5405,4001.06,6.86
5406,4007.78,6.30
5407,4013.40,5.13
5408,4018.16,4.93
5409,4023.59,5.73
5410,4029.45,5.96
5411,4035.55,6.21
5412,4041.76,6.32
5413,4048.22,6.60
5414,4054.82,6.61
5415,4061.34,6.56
5416,4067.75,6.24
5417,4073.95,6.03
5418,4079.65,5.96
5419,4085.98,6.32
5420,4092.41,6.49
5421,4099.16,6.74
5422,4105.77,6.74
5423,4112.40,6.66
5424,4119.04,6.75
5425,4125.72,6.73
5426,4132.36,6.66
5427,4138.87,6.63
5428,4145.58,6.65
5429,4152.13,6.60
5430,4158.44,6.45
5431,4164.63,6.12
5432,4170.31,5.51
5433,4175.40,5.02
5434,4180.53,5.28
5435,4186.07,5.74
5436,4192.18,6.11
5437,4198.49,6.41
5438,4205.08,6.59
5439,4211.81,6.68
5440,4218.58,6.80
5441,4225.14,6.42
5442,4230.80,5.51
5443,4236.32,5.32
5444,4241.57,5.32
5445,4246.77,5.19
5446,4251.81,5.22
5447,4257.36,5.57
5448,4263.12,5.82
5449,4269.08,6.20
5450,4275.44,6.55
5451,4281.93,6.47
5452,4288.14,6.22
5453,4294.04,5.86
5454,4299.67,5.53
5455,4305.02,5.36
5456,4310.34,5.37
5457,4315.71,5.39
5458,4321.71,6.01
5459,4327.98,6.32
5460,4334.23,6.39
5461,4340.75,6.64
5462,4347.26,6.70
5463,4353.93,6.59
5464,4360.52,6.64
5465,4366.94,6.56
5466,4373.69,6.58
5467,4379.96,6.19
5468,4385.90,5.87
5469,4391.60,5.78
5470,4397.28,5.98
5471,4403.17,6.17
5472,4409.39,6.31
5473,4415.37,6.03
5474,4421.28,5.93
5475,4427.15,5.88
5476,4433.06,6.06
5477,4439.10,6.14
5478,4444.94,5.84
5479,4450.81,5.74
5480,4456.66,6.05
5481,4462.75,6.28
5482,4468.90,6.36
5483,4474.83,5.94
5484,4480.43,5.59
5485,4486.15,6.04
5486,4492.42,6.43
5487,4498.72,6.34
5488,4505.19,6.41
5489,4511.57,6.14
5490,4517.65,5.94
5491,4523.66,5.90
5492,4529.45,5.83
5493,4534.92,5.61
5494,4540.52,5.63
5495,4546.26,5.78
5496,4552.12,5.91
5497,4558.17,6.06
5498,4564.23,6.11
5499,4570.05,6.03
5500,4576.09,6.30
5501,4582.42,6.48
5502,4588.78,6.38
5503,4595.31,6.66
5504,4601.97,6.81
5505,4608.69,6.91
5506,4615.59,6.88
5507,4622.67,6.87
5508,4629.62,6.91
5509,4636.38,6.78
5510,4643.20,6.78
5511,4649.97,6.64
5512,4656.48,6.43
5513,4662.54,6.14
5514,4667.79,5.07
5515,4673.18,5.49
5516,4679.07,5.99
5517,4685.20,6.16
5518,4691.41,6.36
